"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Date,Tests/1M pop ,"Country	""Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious""	""Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent"""
Mozambique,225332.0,3.0,2201.0,1.0,223079.0,8.0,52.0,13.0,6865.0,67.0,1306594.0,39804.0,32825481.0,Africa,2022-04-18,,
Kyrgyzstan,200980.0,,2991.0,,196331.0,7.0,1658.0,131.0,29920.0,445.0,1907195.0,283924.0,6717279.0,Asia,2022-04-18,,
Laos,200502.0,312.0,722.0,4.0,7660.0,,192120.0,,26859.0,97.0,1232128.0,165055.0,7464955.0,Asia,2022-04-18,,
China,185035.0,2742.0,4641.0,3.0,151407.0,1637.0,28987.0,71.0,129.0,3.0,160000000.0,111163.0,1439323776.0,Asia,2022-04-18,,
Iceland,183974.0,,110.0,,75685.0,,108179.0,1.0,532923.0,319.0,1953616.0,5659096.0,345217.0,Europe,2022-04-18,,
Maldives,178883.0,570.0,298.0,,163687.0,,14898.0,25.0,320797.0,534.0,2213831.0,3970136.0,557621.0,Asia,2022-04-18,,
Afghanistan,178462.0,39.0,7679.0,1.0,161544.0,27.0,9239.0,1124.0,4406.0,190.0,936091.0,23113.0,40500605.0,Asia,2022-04-18,,
Uganda,164055.0,4.0,3596.0,,100205.0,,60254.0,2.0,3394.0,74.0,2607787.0,53957.0,48330675.0,Africa,2022-04-18,,
El Salvador,162089.0,,4125.0,,150662.0,,7302.0,8.0,24766.0,630.0,1950448.0,298009.0,6544927.0,North America,2022-04-18,,
Ghana,161101.0,,1445.0,,159624.0,,32.0,1.0,4998.0,45.0,2430490.0,75396.0,32236224.0,Africa,2022-04-18,,
Namibia,158074.0,,4022.0,,153662.0,,390.0,,60254.0,1533.0,996110.0,379696.0,2623443.0,Africa,2022-04-18,,
Martinique,147519.0,,918.0,,104.0,,146497.0,8.0,393654.0,2450.0,828928.0,2211991.0,374743.0,North America,2022-04-18,,
Trinidad and Tobago,142422.0,200.0,3803.0,3.0,132350.0,480.0,6269.0,18.0,101179.0,2702.0,688829.0,489358.0,1407619.0,North America,2022-04-18,,
